HomeTeam,AwayTeam,B365H,B365D,B365A,FTR,HomeTeam_Code,AwayTeam_Code,FTR_Code
Fulham,Arsenal,6.0,4.33,1.53,A,7,0,0
Crystal Palace,Southampton,3.1,3.25,2.37,H,5,15,2
Liverpool,Leeds,1.28,6.0,9.5,H,10,8,2
West Ham,Newcastle,2.15,3.4,3.4,A,18,13,0
West Brom,Leicester,3.8,3.6,1.95,A,17,9,0
Tottenham,Everton,1.83,3.6,4.33,A,16,6,0
Brighton,Chelsea,5.0,4.33,1.61,A,2,4,0
Sheffield United,Wolves,3.25,3.1,2.37,A,14,19,0
Everton,West Brom,1.5,4.2,6.5,H,6,17,2
Leeds,Fulham,1.61,3.9,5.75,H,8,7,2
Man United,Crystal Palace,1.3,5.5,9.5,A,12,5,0
Arsenal,West Ham,1.53,4.5,5.5,H,0,18,2
Southampton,Tottenham,3.0,3.3,2.37,A,15,16,0
Newcastle,Brighton,2.6,3.1,2.87,A,13,2,0
Chelsea,Liverpool,3.1,3.6,2.2,A,4,10,0
Leicester,Burnley,1.61,4.0,5.5,H,9,3,2
Aston Villa,Sheffield United,2.7,3.1,2.75,H,1,14,2
Wolves,Man City,6.5,4.33,1.5,A,19,11,0
Brighton,Man United,4.75,3.75,1.72,A,2,12,0
Crystal Palace,Everton,3.75,3.25,2.1,A,5,6,0
West Brom,Chelsea,9.0,4.75,1.36,D,17,4,1
Burnley,Southampton,3.2,3.3,2.3,A,3,15,0
Sheffield United,Leeds,2.7,3.3,2.62,A,14,8,0
Tottenham,Newcastle,1.45,4.5,7.0,D,16,13,1
Man City,Leicester,1.28,6.0,9.5,A,11,9,0
West Ham,Wolves,3.6,3.5,2.05,H,18,19,2
Fulham,Aston Villa,2.9,3.25,2.5,A,7,1,0
Liverpool,Arsenal,1.45,4.75,6.5,H,10,0,2
Chelsea,Crystal Palace,1.4,4.75,8.0,H,4,5,2
Everton,Brighton,1.72,3.75,4.8,H,6,2,2
Leeds,Man City,7.5,5.25,1.36,D,8,11,1
Newcastle,Burnley,2.4,3.2,3.1,H,13,3,2
Leicester,West Ham,1.61,4.2,5.25,A,9,18,0
Southampton,West Brom,1.72,3.8,4.75,H,15,17,2
Arsenal,Sheffield United,1.57,4.0,6.0,H,0,14,2
Wolves,Fulham,1.5,4.0,7.5,H,19,7,2
Man United,Tottenham,1.85,3.8,4.0,A,12,16,0
Aston Villa,Liverpool,10.0,5.5,1.3,H,1,10,2
Everton,Liverpool,3.75,4.2,1.83,D,6,10,1
Chelsea,Southampton,1.45,4.75,6.5,D,4,15,1
Man City,Arsenal,1.44,5.0,6.5,H,11,0,2
Newcastle,Man United,4.75,4.0,1.66,A,13,12,0
Sheffield United,Fulham,2.1,3.3,3.7,D,14,7,1
Crystal Palace,Brighton,2.62,3.3,2.7,D,5,2,1
Tottenham,West Ham,1.57,4.33,5.5,D,16,18,1
Leicester,Aston Villa,1.83,3.8,4.1,A,9,1,0
West Brom,Burnley,2.45,3.3,2.9,D,17,3,1
Leeds,Wolves,2.5,3.3,2.87,A,8,19,0
Aston Villa,Leeds,2.05,3.75,3.3,A,1,8,0
West Ham,Man City,8.0,5.25,1.36,D,18,11,1
Fulham,Crystal Palace,2.75,3.1,2.7,A,7,5,0
Man United,Chelsea,2.37,3.6,2.8,D,12,4,1
Liverpool,Sheffield United,1.22,6.5,12.0,H,10,14,2
Southampton,Everton,2.75,3.4,2.55,H,15,6,2
Wolves,Newcastle,1.75,3.5,5.25,D,19,13,1
Arsenal,Leicester,1.9,3.75,3.8,A,0,9,0
Brighton,West Brom,1.7,4.0,4.75,D,2,17,1
Burnley,Tottenham,5.75,4.0,1.6,A,3,16,0
Wolves,Crystal Palace,2.0,3.2,4.33,H,19,5,2
Sheffield United,Man City,9.5,6.0,1.28,A,14,11,0
Burnley,Chelsea,6.0,4.5,1.5,A,3,4,0
Liverpool,West Ham,1.36,5.25,7.5,H,10,18,2
Aston Villa,Southampton,2.45,3.5,2.8,A,1,15,0
Newcastle,Everton,3.7,3.4,2.05,H,13,6,2
Man United,Arsenal,2.0,3.6,3.6,A,12,0,0
Tottenham,Brighton,1.61,4.0,5.5,H,16,2,2
Fulham,West Brom,2.4,3.3,3.0,H,7,17,2
Leeds,Leicester,2.5,3.6,2.62,A,8,9,0
Brighton,Burnley,1.85,3.5,4.33,D,2,3,1
Southampton,Newcastle,2.0,3.6,3.7,H,15,13,2
Everton,Man United,2.9,3.5,2.37,A,6,12,0
Crystal Palace,Leeds,2.87,3.4,2.45,H,5,8,2
Chelsea,Sheffield United,1.36,5.0,8.5,H,4,14,2
West Ham,Fulham,1.83,3.75,4.2,H,18,7,2
West Brom,Tottenham,7.0,4.33,1.45,A,17,16,0
Leicester,Wolves,2.3,3.2,3.25,H,9,19,2
Man City,Liverpool,1.95,4.2,3.4,D,11,10,1
Arsenal,Aston Villa,1.65,4.1,5.0,A,0,1,0
Newcastle,Chelsea,6.5,4.75,1.45,A,13,4,0
Aston Villa,Brighton,2.15,3.6,3.2,A,1,2,0
Tottenham,Man City,4.0,4.0,1.8,H,16,11,2
Man United,West Brom,1.3,5.5,9.5,H,12,17,2
Fulham,Everton,3.9,3.9,1.85,A,7,6,0
Sheffield United,West Ham,3.0,3.25,2.4,A,14,18,0
Leeds,Arsenal,3.0,3.75,2.2,D,8,0,1
Liverpool,Leicester,1.85,4.0,3.8,H,10,9,2
Burnley,Crystal Palace,2.75,3.1,2.75,H,3,5,2
Wolves,Southampton,2.3,3.25,3.25,D,19,15,1
Crystal Palace,Newcastle,2.05,3.25,3.75,A,5,13,0
Brighton,Liverpool,5.5,4.2,1.57,D,2,10,1
Man City,Burnley,1.16,7.5,16.0,H,11,3,2
Everton,Leeds,1.95,3.8,3.6,A,6,8,0
West Brom,Sheffield United,2.6,3.2,2.8,H,17,14,2
Southampton,Man United,4.0,3.5,1.95,A,15,12,0
